WARD,NEIGHBOURHOOD_NUMBER,STRUCTURE_TYPE,OCCUPIED,UNOCCUPIED,NO_LONGER_IN_USE,NO_RESPONSE
Ward 1,4350,Row House,0,0,0,0
Ward 1,4350,Apartment (5+ stories),0,0,0,0
Ward 1,4350,Apartment (1-4 stories),0,0,0,0
Ward 1,4350,Manufactured/Mobile Home,0,0,0,0
Ward 1,4350,Institution/Collective Residence,0,0,0,0
Ward 1,4350,Hotel/Motel,0,0,0,0
Ward 1,4350,RV/Tent/Other,0,0,0,0
Ward 1,4350,No Response,0,0,0,0
Ward 1,4400,Single Detached House,0,0,0,0
Ward 1,4400,Duplex/Fourplex,0,0,0,0
Ward 1,4400,Row House,0,0,0,0
Ward 1,4400,Apartment (5+ stories),0,0,0,0
Ward 1,4400,Apartment (1-4 stories),0,0,0,0
Ward 1,4400,Manufactured/Mobile Home,0,0,0,0
Ward 1,4400,Institution/Collective Residence,0,0,0,0
Ward 1,4400,Hotel/Motel,0,0,0,0
Ward 1,4400,RV/Tent/Other,0,0,0,0
Ward 1,4400,No Response,0,0,0,0
Ward 1,4410,Single Detached House,0,0,0,0
Ward 1,4410,Duplex/Fourplex,0,0,0,0
Ward 1,4410,Row House,0,0,0,0
Ward 1,4410,Apartment (5+ stories),0,0,0,0
Ward 1,4410,Apartment (1-4 stories),0,0,0,0
Ward 1,4410,Manufactured/Mobile Home,0,0,0,0
Ward 1,4410,Institution/Collective Residence,0,0,0,0
Ward 1,4410,Hotel/Motel,0,0,0,0
Ward 1,4410,RV/Tent/Other,0,0,0,0
Ward 1,4410,No Response,0,0,0,0
Ward 1,4470,Single Detached House,56,4,13,0
Ward 1,4470,Duplex/Fourplex,0,0,0,0
Ward 1,4470,Row House,0,0,0,0
Ward 1,4470,Apartment (5+ stories),0,0,0,0
Ward 1,4470,Apartment (1-4 stories),0,0,0,0
Ward 1,4470,Manufactured/Mobile Home,0,1,0,0
Ward 1,4470,Institution/Collective Residence,0,0,0,0
Ward 1,4470,Hotel/Motel,0,0,0,0
Ward 1,4470,RV/Tent/Other,0,0,0,0
Ward 1,4470,No Response,0,0,0,0
Ward 1,4471,Single Detached House,147,6,6,0
Ward 1,4471,Duplex/Fourplex,50,0,0,0
Ward 1,4471,Row House,14,0,0,0
Ward 1,4471,Apartment (5+ stories),0,0,0,0
Ward 1,4471,Apartment (1-4 stories),0,0,0,0
Ward 1,4471,Manufactured/Mobile Home,0,0,0,0
Ward 1,4471,Institution/Collective Residence,0,0,0,0
Ward 1,4471,Hotel/Motel,0,0,0,0
Ward 1,4471,RV/Tent/Other,0,0,0,0
Ward 1,4471,No Response,0,0,0,0
Ward 1,4473,Single Detached House,25,2,1,0
Ward 1,4473,Duplex/Fourplex,0,0,0,0
Ward 1,4473,Row House,0,0,0,0
Ward 1,4473,Apartment (5+ stories),0,0,0,0
Ward 1,4473,Apartment (1-4 stories),0,0,0,0
Ward 1,4473,Manufactured/Mobile Home,0,0,0,0
Ward 1,4473,Institution/Collective Residence,0,0,0,0
Ward 1,4473,Hotel/Motel,0,0,0,0
Ward 1,4473,RV/Tent/Other,0,0,0,0
Ward 1,4473,No Response,0,0,0,0
Ward 1,4474,Single Detached House,67,4,2,0
Ward 1,4474,Duplex/Fourplex,6,0,0,0
Ward 1,4474,Row House,0,0,0,0
Ward 1,4474,Apartment (5+ stories),0,0,0,0
Ward 1,4474,Apartment (1-4 stories),0,0,0,0
Ward 1,4474,Manufactured/Mobile Home,0,0,0,0
Ward 1,4474,Institution/Collective Residence,0,0,0,0
Ward 1,4474,Hotel/Motel,0,0,0,0
Ward 1,4474,RV/Tent/Other,0,0,0,0
Ward 1,4474,No Response,0,0,0,0
Ward 1,4475,Single Detached House,42,2,4,0
Ward 1,4475,Duplex/Fourplex,0,0,0,0
Ward 1,4475,Row House,0,0,0,0
Ward 1,4475,Apartment (5+ stories),0,0,0,0
Ward 1,4475,Apartment (1-4 stories),0,0,0,0
Ward 1,4475,Manufactured/Mobile Home,0,0,0,0
Ward 1,4475,Institution/Collective Residence,0,0,0,0
Ward 1,4475,Hotel/Motel,0,0,0,0
Ward 1,4475,RV/Tent/Other,0,0,0,0
Ward 1,4475,No Response,0,0,0,0
Ward 1,4485,Single Detached House,31,1,11,0
Ward 1,4485,Duplex/Fourplex,0,0,0,0
Ward 1,4485,Row House,0,0,0,0
Ward 1,4485,Apartment (5+ stories),0,0,0,0
Ward 1,4485,Apartment (1-4 stories),0,0,0,0
Ward 1,4485,Manufactured/Mobile Home,1,0,1,0
Ward 1,4485,Institution/Collective Residence,0,0,0,0
Ward 1,4485,Hotel/Motel,0,0,0,0
Ward 1,4485,RV/Tent/Other,1,1,0,0
Ward 1,4485,No Response,0,0,0,0
Ward 1,4486,Single Detached House,0,0,0,0
Ward 1,4486,Duplex/Fourplex,0,0,0,0
Ward 1,4486,Row House,0,0,0,0
Ward 1,4486,Apartment (5+ stories),0,0,0,0
Ward 1,4486,Apartment (1-4 stories),0,0,0,0
Ward 1,4486,Manufactured/Mobile Home,0,0,0,0
Ward 1,4486,Institution/Collective Residence,0,0,0,0
